TrialNumber		StartTime	EndTime	CoherenceAngle	StaircaseNumber		bothstair	vertical stair	horz stair	CombinedResponse		both	CorrectVertical	both	own	both	own	CorrectHorizontal	both	own	both	own	GazeError		HeadError				StimulusDirection
142		637942.3	638994.1	200	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.331371		0		NE
143		642302.4	643842.2	200	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.243418		0		SW
144		650825.9	652071.7	200	2					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.211154		0		SE
145		654856.8	656912.6	200	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.114948		0		SE
146		658868	660586.3	240	2					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.345744		0		SE
147		662876.3	664103.9	160	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.102409		0		NW
148		666897.3	668268.9	160	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.387752		0		NE
149		670927.6	672094	200	1					FALSE			FALSE					TRUE					"(0.0, 0.0, 0.0)"		1.530317		0		NW
150		674944.4	676231.4	160	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.258721		0		NW
151		678968.3	680497.5	160	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.120109		0		SW
152		684744.9	685772	200	1					FALSE			TRUE					FALSE					"(0.0, 0.0, 0.0)"		1.058161		0		NW
153		688775.8	689794.8	200	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.219707		0		NE
154		692807.8	694068.4	200	2					FALSE			FALSE					FALSE					"(0.0, 0.0, 0.0)"		1.273207		0		SW
155		696817.1	697863.8	120	1					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.193005		0		NE
156		700837.8	702087.4	240	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.33316		0		SE
157		704846.9	707066.1	240	2					TRUE			TRUE					TRUE					"(0.0, 0.0, 0.0)"		1.116331		0		NW
