TrialNumber	StartTime	EndTime	CoherenceAngle	StaircaseNumber	CombinedResponse	CorrectVertical	CorrectHorizontal		GazeError		HeadError		StimulusDirection
173	490000.3	490880	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4388386	0	SE
174	494012.9	494899.6	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.7059106	0	SW
175	498036.7	498962.7	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.889444	0	NW
176	502054.3	502707.7	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7871744	0	NW
177	506074.8	506843	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.513873	0	NW
178	510098.9	510839	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4035704	0	SE
179	514120.1	515149.1	240	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3924465	0	NE
180	518145	518987.7	200	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3193131	0	SW
181	522162.5	522996.8	160	1	True	True	True		"(0.0, 0.0, 0.0)"		1.197071	0	SE
182	526183.4	527162.2	160	1	False	False	True		"(0.0, 0.0, 0.0)"		0.664371	0	SE
183	530330.6	530998.8	120	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7992235	0	SW
184	534353.3	535307.1	120	1	True	True	True		"(0.0, 0.0, 0.0)"		1.909669	0	NW
185	538368.6	539242	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2894669	0	SE
186	542393.1	543259.1	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4325999	0	NE
187	546411.9	547189.3	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5471183	0	NW
188	550752.9	551484.5	200	1	False	False	True		"(0.0, 0.0, 0.0)"		2.610498	0	SW
189	554769.6	555619.7	160	1	True	True	True		"(0.0, 0.0, 0.0)"		1.773689	0	NW
190	559239.8	560255.7	160	1	False	False	True		"(0.0, 0.0, 0.0)"		1.518293	0	NE
191	563833.6	564560	120	1	True	True	True		"(0.0, 0.0, 0.0)"		2.144527	0	SW
192	567859.1	568723.1	120	1	True	True	True		"(0.0, 0.0, 0.0)"		2.967957	0	NW
193	571886.7	572605.1	160	1	True	True	True		"(0.0, 0.0, 0.0)"		0.8182006	0	NW
194	575921.8	576526.2	160	1	True	True	True		"(0.0, 0.0, 0.0)"		1.006816	0	NW
195	579942.6	580850.6	200	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9982578	0	NE
196	583957.9	584755.6	200	1	True	True	True		"(0.0, 0.0, 0.0)"		2.485144	0	SW
197	587979.4	589320.7	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9870725	0	NE
198	592009.8	593301	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.3910798	0	SW
199	600051.1	601008.6	280	1	False	False	True		"(0.0, 0.0, 0.0)"		3.0895	0	NW
200	604070.8	604829.8	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.8675728	0	NW
201	608095.1	608832.4	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4070158	0	SE
202	612119.8	612804.6	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.6565857	0	NW
203	616137	616919.8	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.7481611	0	SW
204	620161.4	621191.2	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.5002571	0	SW
205	624178.6	625038.3	280	1	True	True	True		"(0.0, 0.0, 0.0)"		3.320084	0	SE
206	628199.1	629114.9	280	1	True	True	True		"(0.0, 0.0, 0.0)"		3.511358	0	NE
207	632218.8	633272.3	320	1	False	False	True		"(0.0, 0.0, 0.0)"		0.3807592	0	NW
208	636238.6	636823.1	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.4228213	0	SE
209	640260.9	641115.6	240	1	True	True	True		"(0.0, 0.0, 0.0)"		2.41732	0	SE
210	644275.1	645560.8	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.4208281	0	SE
211	648290.1	649160.9	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2323979	0	SE
212	660354.3	661276.3	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.211682	0	SE
213	668389.1	669440.2	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.411551	0	SE
214	672407.4	673544.4	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.2963985	0	NE
215	676436.1	677261.1	280	1	False	False	True		"(0.0, 0.0, 0.0)"		0.8387396	0	SW
216	680446.3	681306	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.1722877	0	NE
217	684479.7	686198.6	240	1	True	True	True		"(0.0, 0.0, 0.0)"		0.9569489	0	SW
218	688506	689468.4	280	1	True	True	True		"(0.0, 0.0, 0.0)"		0.6864993	0	NW
